trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1119,False,"{'a': 0.7, 'e': 0.5032598815155254}",20,5,21.806634842829713,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1120,False,"{'a': 0.7, 'e': 0.17177673471265031}",25,13,22.652374229821415,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1121,False,"{'a': 0.7, 'e': 0.7660240685198638}",20,9,18.32006400731821,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1122,False,"{'a': 0.7, 'e': 0.9999983134460076}",30,4,42.274240049709036,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
1123,False,"{'a': 0.7, 'e': 0.763657726153839}",30,17,22.536768347004095,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1124,False,"{'a': 0.7, 'e': 0.16815697777034955}",20,13,10.528470359999995,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1125,False,"{'a': 0.7, 'e': 0.5064306247838023}",20,12,12.061878195273605,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1126,False,"{'a': 0.7, 'e': 0.9428359913052689}",20,10,12.371211559657821,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1127,False,"{'a': 0.7, 'e': 0.935810858897162}",20,7,20.836435020061884,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1128,False,"{'a': 0.7, 'e': 0.4886592571017377}",25,3,33.9211734411846,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1129,False,"{'a': 0.7, 'e': 0.18831642882021815}",20,12,13.664635339688367,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1130,False,"{'a': 0.7, 'e': 0.7767239557426453}",20,12,16.580187175194183,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1131,False,"{'a': 0.7, 'e': 0.9998260696326685}",20,8,20.32320581330177,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1132,False,"{'a': 0.7, 'e': 0.7526943602611745}",20,9,22.345520999117724,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1133,False,"{'a': 0.7, 'e': 0.1515587320851107}",20,13,12.193256243295483,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1134,False,"{'a': 0.7, 'e': 0.5208573359611786}",20,14,9.79805479379366,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1135,False,"{'a': 0.7, 'e': 0.9483060602845191}",25,17,14.706726766598592,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1136,False,"{'a': 0.7, 'e': 0.9297516267651028}",25,11,24.098513940696474,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1137,False,"{'a': 0.7, 'e': 0.47392047540812754}",25,17,18.201192206245253,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1138,False,"{'a': 0.7, 'e': 0.20480288074490555}",25,7,27.510239349784634,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1139,False,"{'a': 0.7, 'e': 0.7872042419504112}",20,0,28.326503119518467,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1140,False,"{'a': 0.7, 'e': 0.9993711477610087}",20,8,19.9163852238489,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1141,False,"{'a': 0.7, 'e': 0.7415181871746855}",25,13,22.226433370156883,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1142,False,"{'a': 0.7, 'e': 0.1349176366187743}",20,14,9.65888669288493,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1143,False,"{'a': 0.7, 'e': 0.5351367865850832}",20,12,14.172356528234696,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1144,False,"{'a': 0.7, 'e': 0.9535080173151106}",20,5,23.504547445118284,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1145,False,"{'a': 0.7, 'e': 0.9234295285280311}",20,3,29.55150850399829,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1146,False,"{'a': 0.7, 'e': 0.4590477034898627}",25,17,12.489510163983569,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1147,False,"{'a': 0.7, 'e': 0.22123142931788592}",30,16,23.733793020338055,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1148,False,"{'a': 0.7, 'e': 0.7974619640809122}",30,16,25.901662408649166,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1149,False,"{'a': 0.7, 'e': 0.9986336764498364}",30,16,23.165265927296865,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1150,False,"{'a': 0.7, 'e': 0.7301323667027151}",35,15,25.07108426609422,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
1151,False,"{'a': 0.7, 'e': 0.11823839626244345}",25,1,38.98878488082185,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
1152,False,"{'a': 0.7, 'e': 0.549264939466045}",25,19,9.35805115274782,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1153,False,"{'a': 0.7, 'e': 0.958440391662163}",20,14,13.720961948200571,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1154,False,"{'a': 0.7, 'e': 0.9168463516153748}",30,14,26.378985264335086,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1155,False,"{'a': 0.7, 'e': 0.444045146284396}",30,19,14.768256191890728,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1156,False,"{'a': 0.7, 'e': 0.23759742974085413}",30,7,33.80442120560372,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
1157,False,"{'a': 0.7, 'e': 0.8074942219968189}",25,1,39.41649783602108,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
1158,False,"{'a': 0.7, 'e': 0.9976138642023727}",30,9,35.408464728271866,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
1159,False,"{'a': 0.7, 'e': 0.7185401179269366}",20,0,31.38265733262003,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1160,False,"{'a': 0.7, 'e': 0.10152572669136999}",20,10,12.435536655769079,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1161,False,"{'a': 0.7, 'e': 0.5632378001902995}",20,8,18.837863739369475,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1162,False,"{'a': 0.7, 'e': 0.9631017888091546}",20,7,22.24807088632975,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1163,False,"{'a': 0.7, 'e': 0.9100039572704858}",25,3,27.69768816777808,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1164,False,"{'a': 0.7, 'e': 0.42891704542341963}",30,11,35.261133664962195,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1165,False,"{'a': 0.7, 'e': 0.2538962549000138}",30,13,36.42192642886097,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1166,False,"{'a': 0.7, 'e': 0.8172981793054723}",25,14,21.647855743768698,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1167,False,"{'a': 0.7, 'e': 0.9963119993473033}",25,0,40.78801231275222,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1168,False,"{'a': 0.7, 'e': 0.7067447182916962}",25,9,29.109640483206828,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1169,False,"{'a': 0.7, 'e': 0.08478435303260658}",25,15,18.933303992077818,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1170,False,"{'a': 0.7, 'e': 0.577051418249783}",25,11,26.142308878096028,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1171,False,"{'a': 0.7, 'e': 0.9674908908521045}",20,8,23.429290796857217,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1172,False,"{'a': 0.7, 'e': 0.9029042800245368}",20,0,27.40988127584175,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1173,False,"{'a': 0.7, 'e': 0.41366767803293203}",20,0,17.34712446908738,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1174,False,"{'a': 0.7, 'e': 0.27012329667340335}",25,7,31.33216826179021,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1175,False,"{'a': 0.7, 'e': 0.8268710641612814}",25,15,18.281425324106433,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1176,False,"{'a': 0.7, 'e': 0.9947284499572939}",20,2,32.01509127950729,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1177,False,"{'a': 0.7, 'e': 0.6947495026776151}",20,12,13.234035022450309,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1178,False,"{'a': 0.7, 'e': 0.0680190085282943}",25,13,24.48963603781184,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1179,False,"{'a': 0.7, 'e': 0.5907018881582952}",35,15,29.816506161643943,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
